name,fighter_skill_summary,url,fighter_skill_record,quote,fighter_nickname,fighter_degree,fighter_lives_in,fighter_reach,fighter_weight,fighter_leg_reach,image,fighter_age,fighter_height,fighter_from,fighter_college
Charles Rosa,"Striking, grappling, conditioning, mental toughness",http://www.ufc.com/fighter/charles-rosa,11-3-0,,Boston Strong,,"Coconut Creek, Florida United States","69""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images//Charles_Rosa/1ROSA_CHARLES.png,31,"5' 9"" ( 175 cm )","Peabody, Massachusetts United States",Johnson and Wales
Dennis Siver,"Punches, takedowns",http://www.ufc.com/fighter/dennis-Siver,"23-11-0, 1NC",,,,Mannheim Germany,"70""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Dennis_Siver/SIVER_DENNIS.png,39,"5' 7"" ( 170 cm )",Omsk Russia,
Demian Maia,"Submissions, BJJ black belt, BJJ world champion",http://www.ufc.com/fighter/demian-Maia,25-8-0,My favorite technique is to submit my opponent without him hurting me or me hurting him.,,Journalism,Sao Paulo Brazil,"72""",170 lb ( 77 kg ),"42""",//media.ufc.tv/fighter_images/Demian_Maia/MAIA_DEMIAN.png,40,"6' 1"" ( 185 cm )",Sao Paulo Brazil,
Neil Magny,Great work ethic and extremely coachable,http://www.ufc.com/fighter/neil-Magny,20-7-0,,,Criminal Justice,"Denver, Colorado United States","80""",170 lb ( 77 kg ),"45""",//media.ufc.tv/fighter_images/Neil_Magny/MAGNY_NEIL.png,30,"6' 3"" ( 190 cm )","Brooklyn, New York United States",Southern Illinois University
Hyun Gyu Lim,"Striking, well-rounded, size",http://www.ufc.com/fighter/hyun-Gyu-Lim,13-7-1,,The Ace,,Seoul South Korea,"77""",170 lb ( 77 kg ),"43""",//media.ufc.tv/fighter_images//Hyun_Gyu_Lim/1LIM_HYUN_GYU.png,33,"6' 3"" ( 190 cm )",Seoul South Korea,
Vicente Luque,Cerrado MMA,http://www.ufc.com/fighter/vicente-luque,12-6-1,,The Silent Assassin,,Brasília Brasil,"75""",170 lb ( 77 kg ),"38""",//media.ufc.tv/fighter_images/Vicente_Luque/LUQUE_VICENTE.png,26,"5' 11"" ( 180 cm )","Westwood, New Jersey United States",
Robbie Lawler,"Power, hand speed, takedown defense",http://www.ufc.com/fighter/robbie-Lawler,"28-12-0, 1NC",,Ruthless,,"Coconut Creek, Florida United States","74""",170 lb ( 77 kg ),"39""",//media.ufc.tv/UFN_Winnipeg_2017/LAWLER_ROBBIE.png,36,"5' 11"" ( 180 cm )","San Diego, California United States",
Pascal Krauss,"Controlled aggression, well-rounded, intelligent",http://www.ufc.com/fighter/pascal-Krauss,11-2-0,,Panzer,,Freiburg Germany,"72""",170 lb ( 77 kg ),,//media.ufc.tv/fighter_images/Pascal_Krauss/PascalKrauss_Headshot.png,31,"6' 1"" ( 185 cm )",Breisach Germany,
Chad Laprise,Well-rounded striker,http://www.ufc.com/fighter/chad-laprise,14-2-0,,The Disciple,,"Chatham, Ontario Canada","71""",170 lb ( 77 kg ),"39""",//media.ufc.tv/fighter_images//Chad_Laprise/LAPRISE_CHAD.png,31,"5' 10"" ( 177 cm )","Chatham, Ontario Canada",
Ryan LaFlare,"Wrestling, BJJ, kickboxing",http://www.ufc.com/fighter/ryan-LaFlare,13-2-0,,,Business Management,"Farmingdale, New York United States","74""",170 lb ( 77 kg ),"42""",//media.ufc.tv/fighter_images/Ryan_LaFlare/1LAFLARE_RYAN.png,34,"6' 1"" ( 185 cm )","Lindenhurst, New York United States",Farmingdale State College
Dong Hyun Kim,"Well-rounded, judo, takedowns",http://www.ufc.com/fighter/dong-Hyun-Kim,"22-4-1, 1NC",,The Stun Gun,,Busan South Korea,"76""",170 lb ( 77 kg ),"42""",//media.ufc.tv/fighter_images/Dong_Hyun_Kim/KIM_DONG_HYUN_singapore.png,36,"6' 2"" ( 187 cm )",Suwon South Korea,
Song Kenan,Striker,http://www.ufc.com/fighter/kenan-Song,13-4-0,,The Assassin,,Beijing China,"71""",170 lb ( 77 kg ),"41""",//media.ufc.tv/fighter_images/Kenan_Song/SONG_KENAN.png,28,"6' 0"" ( 182 cm )","Tangshan, Hebei China",
Adam Khaliev,Striking,http://www.ufc.com/fighter/adam-Khaliev,6-0-0,,,,"Grozny, Chechen Republic Russia",,170 lb ( 77 kg ),,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png,34,"5' 10"" ( 177 cm )","Grozny, Chechen Republic Russia",
Joe Proctor,"Jiu-jitsu, power, takedown defense",http://www.ufc.com/fighter/joe-Proctor,11-5-0,,,,"Pembroke, Massachusetts United States","72""",170 lb ( 77 kg ),"39""",//media.ufc.tv/fighter_images/Joe_Proctor/PROCTOR_JOE.png,32,"5' 10"" ( 177 cm )","Quincy, Massachusetts United States",
