name,fighter_skill_summary,url,fighter_skill_record,quote,fighter_nickname,fighter_degree,fighter_lives_in,fighter_reach,fighter_weight,fighter_leg_reach,image,fighter_age,fighter_height,fighter_from,fighter_college
Ricky Simon,Wrestling,http://www.ufc.com/fighter/ricky-Simon,10-1-0,,,,"Vancouver, Washington United States","69""",135 lb ( 61 kg ),"38""",,,"5' 7"" ( 170 cm )","Pendelton, Oregon United States",
Douglas Silva de Andrade,Punches and kicks,http://www.ufc.com/fighter/douglas-Silva-de-Andrade,"25-2-0, 1NC",,D Silva,,"Castanhal, Para Brazil","68""",135 lb ( 61 kg ),"37""",//media.ufc.tv/fighter_images/Douglas_Silva_de_Andrade/SILVA-DE-ANDRADE_DOUGLAS.png,32,"5' 7"" ( 170 cm )","Castanhal, Para Brazil",
Luke Sanders,"Well-rounded, athleticism, tough",http://www.ufc.com/fighter/luke-Sanders,13-2-0,,Cool Hand,,"Nashville, Tennessee United States","67""",135 lb ( 61 kg ),"36""",//media.ufc.tv/fighter_images/Luke_Sanders/SANDERS_LUKE.png,32,"5' 6"" ( 167 cm )","Brenham, Texas United States",
Boston Salmon,Athleticism and experience,http://www.ufc.com/fighter/boston-Salmon,6-1-0,,Boom Boom,,"Las Vegas, Nevada United States","69""",135 lb ( 61 kg ),"39""",,27,"5' 9"" ( 175 cm )","Honolulu, Hawaii United States",
Frankie Saenz,"Mental toughness, cardio, well-rounded",http://www.ufc.com/fighter/frankie-Saenz,12-5-0,,,,"Scottsdale, Arizona United States","66""",135 lb ( 61 kg ),"38""",//media.ufc.tv/fighter_images/Frankie_Saenz/SAENZ_FRANKIE.png,37,"5' 6"" ( 167 cm )","Phoenix, Arizona United States",
Jimmie Rivera,"Striking, wrestling and grappling",http://www.ufc.com/fighter/jimmie-rivera,21-1-0,,El Terror,,"Ramsey, New Jersey United States","68""",135 lb ( 61 kg ),"37""",//media.ufc.tv/fighter_images/Jimmie_Rivera/RIVERA_JIMMIE.png,28,"5' 4"" ( 162 cm )","Passaic, New Jersey United States",
Ricardo Ramos,BJJ,http://www.ufc.com/fighter/ricardo-ramos,11-1-0,,,,"Campinas, Sao Paulo Brazil","72""",135 lb ( 61 kg ),"40""",//media.ufc.tv/fighter_images/Ricardo_Ramos/RAMOS_RICARDO.png,22,"5' 9"" ( 175 cm )","Campinas, Sao Paulo Brazil",
Jose Quinonez,"Boxing, ground-and-pound",http://www.ufc.com/fighter/jose-quinonez,8-2-0,,Teco,,"San Diego, California United States","69""",135 lb ( 61 kg ),"39""",//media.ufc.tv/fighter_images/Jose_Quinonez/QUINONEZ_JOSE.png,27,"5' 8"" ( 172 cm )","Tlaltenango, Zacatecas Mexico",
Kyler  Phillips ,Versatility,http://www.ufc.com/fighter/kyler-Phillips,5-0-0,,The Matrix,,"Glendale, California United States",,135 lb ( 61 kg ),,,22,"5' 8"" ( 172 cm )","Torrance, California United States",
Alejandro Perez,"Boxing, striking",http://www.ufc.com/fighter/alejandro-perez,22-6-1,,Turbo,,"San Jose, California United States","67""",135 lb ( 61 kg ),"36""",//media.ufc.tv/fighter_images/Alejandro_Perez/PEREZ_ALEJANDRO.png,28,"5' 6"" ( 167 cm )",Estado de Mexico Mexico,
Sean O'Malley,Finisher,http://www.ufc.com/fighter/sean-O-Malley,10-0-0,,Sugar,,"Glendale, Arizona United States","72""",135 lb ( 61 kg ),"39""",//media.ufc.tv/fighter_images/Sean_Omalley/O'MALLEY_SEAN.png,23,"5' 11"" ( 180 cm )","Helena, Montana United States",
Pedro Munhoz,"Focused, not easily distracted",http://www.ufc.com/fighter/pedro-Munhoz,"15-3-0, 1NC",,The Young Punisher,Physical Education,Sao Paulo Brazil,"64""",135 lb ( 61 kg ),"36""",//media.ufc.tv/fighter_images/Pedro_Munhoz/MUNHOZ_PEDRO.png,31,"5' 6"" ( 167 cm )",Sao Paulo Brazil,
Manny Bermudez,Jiu-Jitsu and I have the best coaches,http://www.ufc.com/fighter/manny-Bermudez,12-0-0,,The Bermudez Triangle,,"Norwell, Massachusetts United States","71""",135 lb ( 61 kg ),"40""",//media.ufc.tv/fighter_images/Manny_Bermudez/BERMUDEZ_MANNY.png,23,"5' 10"" ( 177 cm )","Boston, Massachusetts United States",
Raoni Barcelos,,http://www.ufc.com/fighter/raoni-Barcelos,11-1-0,,,,,,135 lb ( 61 kg ),,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png,30,"5' 7"" ( 170 cm )",,
Renan Barao,"Submissions, striking, training team",http://www.ufc.com/fighter/renan-Barao,"36-6-0, 1NC",,The Baron,,Rio de Janeiro Brazil,"70""",135 lb ( 61 kg ),"39""",//media.ufc.tv/fighter_images/Renan_Barao/BARAO_RENAN.png,31,"5' 6"" ( 167 cm )",Natal Brazil,
Raphael Assuncao,"BJJ, Muay Thai, good defense, always looking to push the action",http://www.ufc.com/fighter/raphael-Assuncao,26-5-0,,,,"Alpharetta, Georgia  United States","66""",135 lb ( 61 kg ),"38""",//media.ufc.tv/fighter_images/Raphael_Assuncao/ASSUNCAO_RAPHAEL.png,35,"5' 5"" ( 165 cm )",Recife Brazil,
Thomas Almeida,Liver punch,http://www.ufc.com/fighter/thomas-almeida,22-3-0,,Thominhas,,Sao Paulo Brazil,"70""",135 lb ( 61 kg ),"38""",//media.ufc.tv/fighter_images/Thomas_Almeida/ALMEIDA_THOMAS.png,26,"5' 7"" ( 170 cm )",Sao Paulo Brazil,
Alex Caceres,"Unorthodox, resilient and unpredictable",http://www.ufc.com/fighter/alex-Caceres,"13-11-0, 1NC",,Bruce Leeroy,,"Miami, Florida United States","73""",145 lb ( 65 kg ),"41""",//media.ufc.tv/fighter_images/Alex_Caceres/CACERES_ALEX.png,29,"5' 10"" ( 177 cm )","Miami, Florida United States",
Martin Buschkamp,"Lethal finisher, pushes a high pace, outstanding transitions",http://www.ufc.com/fighter/martin-Buschkamp,"9-0-0, 1NC",,Barracuda,,Tuttlingen Germany,"70""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png,27,"5' 9"" ( 175 cm )","Itapira, Sao Paulo Brazil",
Mads Burnell,"Boxing, grappling, wrestling",http://www.ufc.com/fighter/mads-Burnell,9-2-0,,,,"Husman, Copenhagen Denmark","69""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Mads_Burnell/BURNELL_MADS.png,24,"5' 9"" ( 175 cm )","Husman, Copenhagen Denmark",
Shane Burgos,Finisher in all positions,http://www.ufc.com/fighter/shane-burgos,10-1-0,,Hurricane,,"Monroe, New York United States","75""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Shane_Burgos/BURGOS_SHANE.png,27,"5' 11"" ( 180 cm )","Bronx, New York United States",
Wuliji Buren,"Boxing, takedowns, and submissions",http://www.ufc.com/fighter/wuliji-Buren,10-5-0,,Beast Master,,Beijing China,"69""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Wuliji_Buren/BUREN_WULIJI.png,29,"5' 9"" ( 175 cm )","Chi Feng, Nei Mongol China",
Kyle Bochniak,"Tenacity, cardio, the will to do harm",http://www.ufc.com/fighter/kyle-Bochniak,8-3-0,,Crash,,"Boston, Massachusetts United States","70""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images/Kyle_Bochniak/1BOCHNIAK_KYLE.png,31,"5' 7"" ( 170 cm )","Gloucester, Massachusetts United States",
Matt Bessette,Creativity and the ability to finish the fight anywhere.,http://www.ufc.com/fighter/matt-Bessette,"22-8-0, 1NC",,The Mangler,,"Bristol, Connecticut  United States","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Matt_Bessette/BESSETTE_MATT.png,33,"5' 10"" ( 177 cm )","Hartford, Connecticut United States",
Dennis Bermudez,"Takedowns, Ground-and-Pound, Great Cardio",http://www.ufc.com/fighter/dennis-Bermudez,17-8-0,,The Menace,Anthropology,"Lindenhurst, New York United States","66""",145 lb ( 65 kg ),"38""",//media.ufc.tv/fighter_images//Dennis_Bermudez/BERMUDEZ_DENNIS.png,31,"5' 6"" ( 167 cm )","Saugerties, New York United States",Bloomsburg University
Gabriel Benitez,Striking,http://www.ufc.com/fighter/gabriel-benitez,20-7-0,,Moggly,,"Tijuana, Baja California Mexico","71""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Gabriel_Benitez/BENITEZ_GABRIEL.png,29,"5' 8"" ( 172 cm )","Tijuana, Baja California Mexico",
Mirsad Bektic,"Wrestling, boxing, conditioning",http://www.ufc.com/fighter/mirsad-Bektic,12-1-0,,,,"Montreal, Quebec Canada","70""",145 lb ( 65 kg ),"40""",//media.ufc.tv/fighter_images/Mirsad_Bektic/BEKTIC_MIRSAD.png,27,"5' 8"" ( 172 cm )",Srebrenica Bosnia,
Enrique Barzola,"Physical strength, wrestling",http://www.ufc.com/fighter/enrique-barzola,15-3-1,,El Fuerte,,Lima Peru,"70""",145 lb ( 65 kg ),"36""",//media.ufc.tv/fighter_images/Enrique_Barzola/BARZOLA_ENRIQUE.png,28,"5' 7"" ( 170 cm )",Lima Peru,
Humberto Bandenay,Muay Thai,http://www.ufc.com/fighter/humberto-Bandenay,"14-4-0, 1NC",,,,Lima Peru,,145 lb ( 65 kg ),,//media.ufc.tv/fighter_images/Humberto_Bandenay/BANDENAY_HUMBERTO.png,23,"6' 1"" ( 185 cm )",Lima Peru,
Austin Arnett,"Movement, footwork, KO power",http://www.ufc.com/fighter/austin-Arnett,15-5-0,,Golden Boy,,"Clarkston, Washington United States","72""",145 lb ( 65 kg ),"41""",,26,"6' 0"" ( 182 cm )","Clarkston, Washington United States",
Julio Arce ,Well-rounded,http://www.ufc.com/fighter/julio-Arce,14-2-0,,,,"Bayside, New York United States","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Julio_Arce/ARCE_JULIO.png,28,"5' 7"" ( 170 cm )","Miami , Florida United States",
Felipe Arantes,"Strong Kicks, Fast Hands, Athletic",http://www.ufc.com/fighter/felipe-Arantes,"18-9-1, 2NC",,Sertanejo,,Sao Paulo Brazil,"73""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images//Felipe_Arante/1ARANTES_FELIPE.png,30,"5' 8"" ( 172 cm )",Sao Paulo Brazil,
Makwan Amirkhani,Submission specialist,http://www.ufc.com/fighter/makwan-amirkhani,13-3-0,,Mr. Finland,,Turku Finland,"72""",145 lb ( 65 kg ),"41""",//media.ufc.tv/fighter_images/Makwan_Amirkhani/AMIRKHANI_MAKWAN.png,29,"5' 10"" ( 177 cm )",Kurdistan,
Arnold Allen,Boxing and Wrestling,http://www.ufc.com/fighter/arnold-allen,12-1-0,,Almighty,,"Trimley St. Martin, Suffolk England","70""",145 lb ( 65 kg ),"39""",//media.ufc.tv/fighter_images/Arnold_Allen/ALLEN_ARNOLD.png,24,"5' 8"" ( 172 cm )",Ipswich England,
Nick Roehrick,I can fight anywhere,http://www.ufc.com/fighter/nick-Roehrick,7-1-0,,,,"Denver, Colorado United States","75""",205 lb ( 93 kg ),"41""",//media.ufc.tv/fighter_images/Nick_Roehrick/ROEHRICK_NICK.png,30,"6' 3"" ( 190 cm )","Dayton, Ohio United States",
Mike Rodriguez,Muay Thai,http://www.ufc.com/fighter/michael-Rodriguez,9-3-0,,Slo-Mike,,"South Easton, Massachusetts  United States","83""",205 lb ( 93 kg ),,//media.ufc.tv/fighter_images/Bec_Rawlings/1RODRIGUEZ_MIKE.png,29,"6' 4"" ( 193 cm )","Dorchester, Massachusetts United States",
Khalil Rountree Jr.,Striking,http://www.ufc.com/fighter/khalil-rountree,7-3-0,,,,"Las Vegas, Nevada United States","74""",205 lb ( 93 kg ),,//media.ufc.tv/fighter_images/Khalill_Rountree/ROUNDTREE_JR_KHALIL.png,28,"6' 1"" ( 185 cm )","Los Angeles, California  United States",
Dominick Reyes,"Kickboxing, wrestling, speed, athleticism, intellect",http://www.ufc.com/fighter/dominick-Reyes,8-0-0,,The Devastator,Business and Economics,"Victorville, California United States","77""",205 lb ( 93 kg ),"43""",//media.ufc.tv/fighter_images/Dominick_Reyes/REYES_DOMINICK.png,28,"6' 4"" ( 193 cm )","Hesperia, California United States",Stony Brook University
Aleksandar Rakic,"Striking, grappling, cardio",http://www.ufc.com/fighter/aleksandar-Rakic,8-1-0,,,,Vienna Austria,"78""",205 lb ( 93 kg ),"46""",//media.ufc.tv/fighter_images/Aleksandar_Rakic/RAKIC_ALEKSANDAR.png,26,"6' 5"" ( 195 cm )",Vienna Austria,
Karl Reed,"Wrestling, Kempo Karate & RCJ Machado BJJ",http://www.ufc.com/fighter/karl-Reed,2-1-0,,No Worries,,"Simpsonville, South Carolina United States","78""",205 lb ( 93 kg ),"45""",,29,"6' 3"" ( 190 cm )","Tampa, Florida United States",
Brad Tavares,"Striking, toughness",http://www.ufc.com/fighter/brad-Tavares,18-5-0,,,,"Las Vegas, Nevada United States","74""",185 lb ( 84 kg ),"43""",//media.ufc.tv/fighter_images/Brad_Tavares/TAVARES_BRAD.png,30,"6' 1"" ( 185 cm )","Kailua, Hawaii United States",
Darren Stewart,Speed and Movement,http://www.ufc.com/fighter/darren-Stewart,"7-3-0, 1NC",,The Dentist,,London England,"74""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images/Darren_Stewart/STEWART_DARREN.png,27,"6' 0"" ( 182 cm )",London England,
Georges St-Pierre,"Athleticism, very well rounded, discipline",http://www.ufc.com/fighter/georges-St-Pierre,26-2-0,,Rush,,"Montreal, Quebec Canada","76""",185 lb ( 84 kg ),"42""",//media.ufc.tv/fighter_images/Georges_St-Pierre/ST-PIERRE_GEORGES.png,36,"5' 11"" ( 180 cm )","Montreal, Quebec Canada",
Ronaldo Souza,"Submissions, takedowns, strength",http://www.ufc.com/fighter/ronaldo-Souza,"25-5-0, 1NC",,Jacare,,Rio de Janeiro Brazil,"72""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images//Ronaldo_Souza/SOUZA_JACARE.png,38,"6' 1"" ( 185 cm )",Espiritos Santos Brazil,
Alexander Volkov,"Striking, Jiu-Jitsu",http://www.ufc.com/fighter/alexander-volkov,29-6-0,,Drago,,Moscow Russia,"80""",250 lb ( 113 kg ),"47""",//media.ufc.tv/fighter_images/Alexander_Volkov/VOLKOV_ALEXANDER.png,29,"6' 7"" ( 200 cm )",Moscow Russia,
Adam Wieczorek,Good stamina,http://www.ufc.com/fighter/adam-Wieczorek,10-1-0,,Siwy,,Chorzow Poland,"81""",250 lb ( 113 kg ),"46""",//media.ufc.tv/fighter_images/Adam_Wieczorek/WIECZOREK_ADAM.png,26,"6' 5"" ( 195 cm )",Chorzow Poland,
Fabricio Werdum,Ground game,http://www.ufc.com/fighter/fabricio-Werdum,23-7-1,,Vai Cavalo,,"Los Angeles, California United States","77""",231 lb ( 104 kg ),"45""",//media.ufc.tv/fighter_images/Fabricio_Werdum/WERDUM_FABRICIO.png,40,"6' 4"" ( 193 cm )",Porto Alegre Brazil,
Justin Willis,Work ethic,http://www.ufc.com/fighter/justin-Willis,6-1-0,,Big Pretty,,"San Jose, California United States","78""",264 lb ( 119 kg ),"41""",//media.ufc.tv/fighter_images/Justin_Willis/1WILLIS_JUSTIN.png,30,"6' 1"" ( 185 cm )","East Palo Alto, California United States",
Cain Velasquez,"Well-rounded, takedowns, power",http://www.ufc.com/fighter/cain-Velasquez,14-2-0,,,Education,"San Jose, California USA","77""",240 lb ( 109 kg ),"41""",//media.ufc.tv/fighter_images//Cain_Velasquez/VELASQUEZ_CAIN.png,35,"6' 1"" ( 185 cm )","Yuma, Arizona USA",Arizona State University
Rashad Evans,"Takedowns, takedown defense, speed",http://www.ufc.com/fighter/rashad-Evans,24-7-1,,Suga,Psychology,"Boca Raton, Florida United States","75""",185 lb ( 84 kg ),"42""",//media.ufc.tv/fighter_images/Rashad_Evans/EVANS_RASHAD.png,38,"6' 0"" ( 182 cm )","Niagara Falls, New York United States",Michigan State University
Vitor Miranda,Striking and defense,http://www.ufc.com/fighter/vitor-miranda,13-6-0,,Lex Luthor,,Rio de Janeiro Brazil,"77""",185 lb ( 84 kg ),"43""",//media.ufc.tv/fighter_images/Vitor_Miranda/MIRANDA_VITOR.png,39,"6' 1"" ( 185 cm )","Joinvillve, Santa Catarina Brazil",
Gerald Meerschaert,Grappling,http://www.ufc.com/fighter/gerald-meerschaert,27-9-0,,GM3,,"Milwaukee, Wisconsin United States","77""",185 lb ( 84 kg ),"40""",//media.ufc.tv/fighter_images/Gerald_Meerschaert/MEERSCHAERT_GERALD.png,30,"6' 1"" ( 185 cm )","Racine, Wisconsin United States",
Julian Marquez,"Wrestling, Thai boxing, jiu-jitsu",http://www.ufc.com/fighter/julian-Marquez,7-1-0,,The Cuban Missile Crisis,,"Las Vegas, Nevada United States","75""",185 lb ( 84 kg ),,//media.ufc.tv/UFN_Winnipeg_2017/MARQUEZ_JULIAN.png,27,"6' 2"" ( 187 cm )","Kansas City, Missouri  United States",
Lyoto Machida,"Karate, unorthodox style, speed",http://www.ufc.com/fighter/lyoto-Machida,23-8-0,,The Dragon,,"Los Angeles, California USA","74""",185 lb ( 84 kg ),"42""",//media.ufc.tv/fighter_images/Lyoto_Machida/MACHIDA_LYOTO.png,39,"6' 1"" ( 185 cm )",Salvador Brazil,
Hector Lombard,"Judo, power, experience",http://www.ufc.com/fighter/hector-Lombard,"34-9-1, 2NC",,Showeather,,"Matanzas, Cuba United States","71""",185 lb ( 84 kg ),"38""",//media.ufc.tv/fighter_images/Hector_Lombard/LOMBARD_HECTOR.png,40,"5' 9"" ( 175 cm )",Matanzas Cuba,
Bevon Lewis,,http://www.ufc.com/fighter/bevon-Lewis,4-0-0,,,,"Albuquerque, New Mexico United States",,185 lb ( 84 kg ),,,26,,"Long Beach, California United States",
Thales Leites,World-class ground game,http://www.ufc.com/fighter/thales-Leites,27-8-0,,,,Rio de Janeiro Brazil,"78""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images/Thales_Lietes/LEITES_THALES.png,36,"6' 1"" ( 185 cm )",Rio de Janeiro Brazil,
Daniel Kelly,Judo,http://www.ufc.com/fighter/dan-Kelly,13-3-0,,,,"Melbourne, Victoria Australia","70""",185 lb ( 84 kg ),"43""",//media.ufc.tv/fighter_images/Dan_Kelly/KELLY_DANIEL.png,40,"6' 0"" ( 182 cm )","Melbourne, Victoria Australia",
Krzysztof Jotko,"Unorthodox striking, aggressive ground game",http://www.ufc.com/fighter/krzysztof-Jotko,19-5-0,,,,Orneta Poland,"77""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images/Krzystof_Jotko/JOTKO_KRZYSZTOF.png,28,"6' 1"" ( 185 cm )",Orneta Poland,
Justin Jones,Wrestling,http://www.ufc.com/fighter/justin-Jones,9-2-0,,,,"San Diego, California United States",,185 lb ( 84 kg ),,,38,"5' 11"" ( 180 cm )",,
Jack Hermansson,"Boxing, ground-and-pound, wrestling",http://www.ufc.com/fighter/jack-hermansson,16-4-0,,The Joker,,Oslo Norway,"77""",185 lb ( 84 kg ),"46""",//media.ufc.tv/fighter_images/Jack_Hermansson/HERMANSSON_JACK.png,29,"6' 1"" ( 185 cm )",Uddevalla Sweden,
Uriah Hall,"Legs, striking",http://www.ufc.com/fighter/uriah-Hall,14-8-0,,Prime Time,,"Queens, New York United States","79""",185 lb ( 84 kg ),"43""",//media.ufc.tv/fighter_images//Uriah_Hall/1HALL_URIAH.png,33,"6' 0"" ( 182 cm )",Spanish Town Jamaica,
Johny Hendricks,"Elite Wrestler, Power",http://www.ufc.com/fighter/johny-Hendricks,18-8-0,,Bigg Rigg,Bachelors in Secondary Education,"Fort Worth, Texas United States","69""",185 lb ( 84 kg ),"39""",//media.ufc.tv/fighter_images/Johny_Hendricks/HENDRICKS_JOHNY.png,34,"5' 9"" ( 175 cm )","Ada, Oklahoma United States",Oklahoma State University
Ryan Janes,Grappling,http://www.ufc.com/fighter/ryan-janes,10-3-0,,,,"Victoria, British Columbia Canada","76""",185 lb ( 84 kg ),"44""",//media.ufc.tv/fighter_images/Ryan_Janes/JANES_RYAN.png,36,"6' 3"" ( 190 cm )","Grand Falls-Winsor, Newfoundland Canada",
Trevin Giles,Ground-and-pound,http://www.ufc.com/fighter/trevin-Giles,11-0-0,,,,"Houston, Texas United States","74""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images/trevin_giles/GILES_TREVIN.png,25,"6' 0"" ( 182 cm )","San Antonio, Texas United States",
Cezar Ferreira,"BJJ, power, well-rounded",http://www.ufc.com/fighter/cezar-Ferreira,13-6-0,,Mutante,,"Miami, Florida United States","78""",185 lb ( 84 kg ),"43""",//media.ufc.tv/fighter_images/Cezar_Ferreira/FERREIRA_CEZAR.png,33,"6' 1"" ( 185 cm )","Ibitinga, Sao Paulo Brazil",
Kelvin Gastelum,Heart,http://www.ufc.com/fighter/kelvin-Gastelum,"15-3-0, 1NC",,,,"Yuma, Arizona United States","71""",185 lb ( 84 kg ),"39""",//media.ufc.tv/fighter_images/Kelvin_Gastelum/GASTELUM_KELVIN.png,26,"5' 9"" ( 175 cm )","San Jose, California United States",
Tai Tuivasa,Standup,http://www.ufc.com/fighter/tai-Tuivasa,9-0-0,,Bam Bam,,"Western Sydney, NSW Australia","75""",265 lb ( 120 kg ),"39""",//media.ufc.tv/fighter_images/Tai_Tuivasa/TUIVASA_TAI.png,25,"6' 2"" ( 187 cm )","Kingswood, NSW Australia",
Marcin Tybura,"Submissions, ground-and-pound",http://www.ufc.com/fighter/marcin-tybura,16-4-0,,Tybur,,Uniejow Poland,"78""",249 lb ( 113 kg ),"46""",//media.ufc.tv/fighter_images/Marcin_Tybura/TYBURA_MARCIN.png,32,"6' 3"" ( 190 cm )",Uniejow Poland,
Stefan Struve,"Kickboxing, submissions and size",http://www.ufc.com/fighter/stefan-Struve,32-10-0,,Skyscraper,,Beverwijk The Netherlands,"84""",265 lb ( 120 kg ),"48""",//media.ufc.tv/fighter_images//Stefan_Struve/STRUVE_STEFAN.png,30,"7' 0"" ( 213 cm )",Beverwijk The Netherlands,
Hu Yaozong,"Punch and kick combos, ground game",http://www.ufc.com/fighter/yaozong-Hu,3-1-0,,Bad Boy,,Beijing China,"72""",242 lb ( 109 kg ),"44""",//media.ufc.tv/fighter_images/Yaozong_Hu/HU_YAOZONG.png,23,"6' 3"" ( 190 cm )",Gansu Province China,
Phillip Hawes,Wrestling,http://www.ufc.com/fighter/phillip-Hawes,4-2-0,,Megatron,,"Alburquerque, New Mexico United States","70""",185 lb ( 84 kg ),,,29,"6' 1"" ( 185 cm )","Little Ferry, New Jersey United States",
Dmitrii Smoliakov,No fear,http://www.ufc.com/fighter/dmitry-smolyakov,8-2-0,,The Lifeguard,,Kaliningrad City Russia,"74""",253 lb ( 114 kg ),"44""",//media.ufc.tv/fighter_images/Dimitry_Smolyavko/SMOLYAVKO_DIMITRY.png,33,"6' 2"" ( 187 cm )",Russia,
Chase Sherman,"Dynamic style, athleticism",http://www.ufc.com/fighter/chase-sherman,11-4-0,,The Vanilla Gorilla,,"D'Iberville, Mississippi United States","78""",250 lb ( 113 kg ),"43""",//media.ufc.tv/fighter_images/Chase_Sherman/1SHERMAN_CHASE.png,28,"6' 4"" ( 193 cm )","D'Iberville, Mississippi United States",
Gian Villante,Power and explosiveness,http://www.ufc.com/fighter/gian-Villante,16-9-0,,,Physical Education,"Bellmore, New York United States","76""",205 lb ( 93 kg ),"43""",//media.ufc.tv/fighter_images/Gian_Villante/VILLANTE_GIAN.png,32,"6' 3"" ( 190 cm )","Levittown, New York United States",Hofstra University
Elias Urbina,,http://www.ufc.com/fighter/elias-urbina,3-1-0,,,,"Weslaco, Texas United States",,185 lb ( 84 kg ),,,24,,"Berlin, Wisconsin  United States",
Glover Teixeira,"Strikings, Jiu-Jitsu",http://www.ufc.com/fighter/glover-Teixeira,27-6-0,,,,"Danbury, Connecticut United States","76""",205 lb ( 93 kg ),"42""",//media.ufc.tv/fighter_images/Glover_Texeira/TEIXEIRA_GLOVER.png,38,"6' 2"" ( 187 cm )","Sobralia, Minas Gerais Brazil",
Erik Koch,"Power, striking, toughness",http://www.ufc.com/fighter/erik-Koch,15-6-0,,New Breed,,"Milwaukee, Wisconsin United States","71""",155 lb ( 70 kg ),"40""",//media.ufc.tv/fighter_images/Erik_Koch/KOCH_ERIK.png,29,"5' 10"" ( 177 cm )","Cedar Rapids, Iowa United States",
Joshua Stansbury,"Wrestling, boxing",http://www.ufc.com/fighter/joshua-stansbury,8-5-0,,The Sandman,,"East Liverpool, Ohio United States","74""",205 lb ( 93 kg ),,//media.ufc.tv/fighter_images/Joshua_Stansbury/STANSBURY_JOSHUA.png,33,"6' 2"" ( 187 cm )","East Liverpool, Ohio United States",
Daniel Spohn,Dynamic striker with strong Jiu-Jitsu.,http://www.ufc.com/fighter/daniel-Spohn,16-5-0,,,,"Colombus, Ohio United States",,206 lb ( 93 kg ),,,33,"6' 4"" ( 193 cm )",,
Ryan Spann,"Jiu-Jitsu, Striking",http://www.ufc.com/fighter/ryan-Spann,10-5-0,,Superman,,"Beaumont, Texas United States","81""",205 lb ( 93 kg ),"41""",,26,"6' 5"" ( 195 cm )","Memphis, Tennesse  United States",
Ovince Saint Preux,"Wrestling, conditioning, striking",http://www.ufc.com/fighter/ovince-St-Preux,22-11-0,,,Sociology,"Knoxville, Tennessee United States","80""",205 lb ( 93 kg ),"45""",//media.ufc.tv/fighter_images/Ovince_Saint_Preux/SAINT_PREUX_OVINCE.png,35,"6' 3"" ( 190 cm )","Immokalee, Florida United States",University of Tennessee
Everett Sims,Kickboxing,http://www.ufc.com/fighter/everett-Sims,4-1-0,,,,"Coconut Creek, Florida  United States","77""",261 lb ( 118 kg ),,,29,"6' 0"" ( 182 cm )","Washington DC, District of Colombia United States",
Daniel Spitz,Striking,http://www.ufc.com/fighter/daniel-spitz,6-1-0,,Daddy Long Legs,,"Spokane, Washington United States",,245 lb ( 111 kg ),,//media.ufc.tv/fighter_images//Daniel_Spitz/1SPITZ_DANIEL.png,27,,"Spokane, Washington United States",
Gokhan Saki,Striking,http://www.ufc.com/fighter/gokhan-Saki,1-1-0,,The Rebel,,Kars Turkey,"73""",205 lb ( 93 kg ),,//media.ufc.tv/fighter_images//Gokhan_Saki/1SAKI_GOKHAN.png,34,"6' 0"" ( 182 cm )",Schiedam Netherlands,
Saparbek Safarov,"Wrestling, knockout power",http://www.ufc.com/fighter/saparbek-safarov,8-2-0,,,,Makhachkala Russia,"78""",205 lb ( 93 kg ),"41""",//media.ufc.tv/fighter_images/Saparbek_Safarov/SAFAROV_SAPARBEK.png,31,"6' 1"" ( 185 cm )",Dagestan Russia,
Trevor Smith,Wrestling and jiu-jitsu,http://www.ufc.com/fighter/trevor-Smith,15-7-0,,Hot Sauce,Marketing,"Tukwila, Washington United States","75""",185 lb ( 84 kg ),"41""",//media.ufc.tv/fighter_images//Trevor_Smith/SMITH_TREVOR.png,37,"6' 3"" ( 190 cm )","Vancouver, Washington United States",Iowa State University
Arjan Singh Bhullar,"Olympic Wrestling pedigree (My father wrestled before me, so I have been wrestling since birth), supreme confidence and mental toughness.",http://www.ufc.com/fighter/arjan-Bhullar,7-1-0,,,,"Vancouver, British Columbia Canada","76""",245 lb ( 111 kg ),"43""",//media.ufc.tv/fighter_images/Arjan_Bhullar/BHULLAR_ARJAN.png,31,"6' 1"" ( 185 cm )","Vancouver, British Columbia Canada",
